volume,page_no,line_index,ocr_line,reason,reason_code,reason_detail,candidate_uid
1,14,2,A. B. C. 2 D. x7,orphan_answer_without_id,orphan_answer_without_id,answer-like line without detectable id_str,
1,14,12,1 4 9,orphan_answer_without_id,orphan_answer_without_id,answer-like line without detectable id_str,
1,14,36,1.7.1 N/A 1.7.2 B 1.7.3 197.9 : 198.1 1.7.4 A;B;C 1.7.5 A,id_without_answer,id_without_answer,id_str detected but no answer token found before lookahead window expiry,1.7.3
1,14,5,1.8.1 SUMMAT10N:GATE CSE 1994 1 QUEST10N:15 0F W0,letters_present_in_numeric_token,letters_present_in_numeric_token,,v1:1.8.1
1,14,17,1.8.2 SUMMAT10N:GATE CSE 2008 1 QUEST10N:24 0E AG,letters_present_in_numeric_token,letters_present_in_numeric_token,,v1:1.8.2
1,14,22,1.8.3 SUMMAT10N:GATE CSE 2015 SET 1 1 QUEST10N:26 MAR1A,letters_present_in_numeric_token,letters_present_in_numeric_token,,v1:1.8.3
1,14,28,1.1.1 N/A,unsupported_literal,unsupported_literal,,v1:1.1.1
1,14,28,1.2.1 N/A,unsupported_literal,unsupported_literal,,v1:1.2.1
1,14,29,1.2.4 N/A,unsupported_literal,unsupported_literal,,v1:1.2.4
1,14,29,1.2.5 N/A,unsupported_literal,unsupported_literal,,v1:1.2.5
1,14,30,1.2.9 N/A,unsupported_literal,unsupported_literal,,v1:1.2.9
1,14,34,1.4.1 N/A,unsupported_literal,unsupported_literal,,v1:1.4.1
1,14,36,1.7.1 N/A,unsupported_literal,unsupported_literal,,v1:1.7.1
1,14,37,1.8.1 N/A,unsupported_literal,unsupported_literal,,v1:1.8.1
1,30,9,2.1.3 X,unsupported_literal,unsupported_literal,,v1:2.1.3
1,30,9,2.2.1 N/A,unsupported_literal,unsupported_literal,,v1:2.2.1
1,30,9,2.2.2 N/A,unsupported_literal,unsupported_literal,,v1:2.2.2
1,30,10,2.2.3 N/A,unsupported_literal,unsupported_literal,,v1:2.2.3
1,30,14,2.4.1 N/A,unsupported_literal,unsupported_literal,,v1:2.4.1
1,30,14,2.4.2 N/A,unsupported_literal,unsupported_literal,,v1:2.4.2
1,30,14,2.4.3 N/A,unsupported_literal,unsupported_literal,,v1:2.4.3
1,30,14,2.4.4 N/A,unsupported_literal,unsupported_literal,,v1:2.4.4
1,30,15,2.4.5 N/A,unsupported_literal,unsupported_literal,,v1:2.4.5
1,30,15,2.4.8 N/A,unsupported_literal,unsupported_literal,,v1:2.4.8
1,30,15,2.4.9 N/A,unsupported_literal,unsupported_literal,,v1:2.4.9
1,30,16,2.4.12 N/A,unsupported_literal,unsupported_literal,,v1:2.4.12
1,30,23,2.7.1 Q-Q,letters_present_in_numeric_token,letters_present_in_numeric_token,,v1:2.7.1
1,30,23,2.7.2 N/A,unsupported_literal,unsupported_literal,,v1:2.7.2
1,30,23,2.7.4 N/A,unsupported_literal,unsupported_literal,,v1:2.7.4
1,47,3,3.3.40 PR0P0S1T10NAL L0G1C:GATE 1T 2004 1 QUEST10N:31 0FC,letters_present_in_numeric_token,letters_present_in_numeric_token,,v1:3.3.40
1,47,13,3.1.1 N/A,unsupported_literal,unsupported_literal,,v1:3.1.1
1,47,13,3.1.2 N/A,unsupported_literal,unsupported_literal,,v1:3.1.2
1,47,14,3.1.10 X,unsupported_literal,unsupported_literal,,v1:3.1.10
1,47,16,3.1.17 X,unsupported_literal,unsupported_literal,,v1:3.1.17
1,47,20,3.3.1 N/A,unsupported_literal,unsupported_literal,,v1:3.3.1
1,47,20,3.3.2 N/A,unsupported_literal,unsupported_literal,,v1:3.3.2
1,47,21,3.3.7 N/A,unsupported_literal,unsupported_literal,,v1:3.3.7
1,47,21,3.3.8 N/A,unsupported_literal,unsupported_literal,,v1:3.3.8
1,47,22,3.3.10 TRUE,unsupported_literal,unsupported_literal,,v1:3.3.10
1,47,22,3.3.11 N/A,unsupported_literal,unsupported_literal,,v1:3.3.11
1,47,23,3.3.16 N/A,unsupported_literal,unsupported_literal,,v1:3.3.16
